player_id,cohort_id,cohort_day_of_week,player_type,player_lifetime,session_count,player_churn,begin_session_count_last_day -1 ,end_session_count_last_day -1 ,begin_stage_count_last_day -1 ,end_stage_count_last_day -1 ,begin_session_count_last_day -2 ,end_session_count_last_day -2 ,begin_stage_count_last_day -2 ,end_stage_count_last_day -2 ,begin_session_count_last_day -3 ,end_session_count_last_day -3 ,begin_stage_count_last_day -3 ,end_stage_count_last_day -3 ,begin_session_count_last_day -4 ,end_session_count_last_day -4 ,begin_stage_count_last_day -4 ,end_stage_count_last_day -4 ,begin_session_count_last_day -5 ,end_session_count_last_day -5 ,begin_stage_count_last_day -5 ,end_stage_count_last_day -5 ,begin_session_count_last_day -6 ,end_session_count_last_day -6 ,begin_stage_count_last_day -6 ,end_stage_count_last_day -6 ,begin_session_count_last_day -7 ,end_session_count_last_day -7 ,begin_stage_count_last_day -7 ,end_stage_count_last_day -7 ,begin_session_count_last_week -1 ,end_session_count_last_week -1 ,begin_stage_count_last_week -1 ,end_stage_count_last_week -1 ,begin_session_count_last_week -2 ,end_session_count_last_week -2 ,begin_stage_count_last_week -2 ,end_stage_count_last_week -2 ,begin_session_count_last_week -3 ,end_session_count_last_week -3 ,begin_stage_count_last_week -3 ,end_stage_count_last_week -3 ,begin_session_count_last_month -1 ,end_session_count_last_month -1 ,begin_stage_count_last_month -1 ,end_stage_count_last_month -1 ,begin_session_count_last_month -2 ,end_session_count_last_month -2 ,begin_stage_count_last_month -2 ,end_stage_count_last_month -2 ,begin_session_time_of_day_mean_last_day -1 ,end_session_time_of_day_mean_last_day -1 ,begin_stage_time_of_day_mean_last_day -1 ,end_stage_time_of_day_mean_last_day -1 ,begin_session_time_of_day_mean_last_day -2 ,end_session_time_of_day_mean_last_day -2 ,begin_stage_time_of_day_mean_last_day -2 ,end_stage_time_of_day_mean_last_day -2 ,begin_session_time_of_day_mean_last_day -3 ,end_session_time_of_day_mean_last_day -3 ,begin_stage_time_of_day_mean_last_day -3 ,end_stage_time_of_day_mean_last_day -3 ,begin_session_time_of_day_mean_last_day -4 ,end_session_time_of_day_mean_last_day -4 ,begin_stage_time_of_day_mean_last_day -4 ,end_stage_time_of_day_mean_last_day -4 ,begin_session_time_of_day_mean_last_day -5 ,end_session_time_of_day_mean_last_day -5 ,begin_stage_time_of_day_mean_last_day -5 ,end_stage_time_of_day_mean_last_day -5 ,begin_session_time_of_day_mean_last_day -6 ,end_session_time_of_day_mean_last_day -6 ,begin_stage_time_of_day_mean_last_day -6 ,end_stage_time_of_day_mean_last_day -6 ,begin_session_time_of_day_mean_last_day -7 ,end_session_time_of_day_mean_last_day -7 ,begin_stage_time_of_day_mean_last_day -7 ,end_stage_time_of_day_mean_last_day -7 ,begin_session_time_of_day_mean_last_week -1 ,end_session_time_of_day_mean_last_week -1 ,begin_stage_time_of_day_mean_last_week -1 ,end_stage_time_of_day_mean_last_week -1 ,begin_session_time_of_day_mean_last_week -2 ,end_session_time_of_day_mean_last_week -2 ,begin_stage_time_of_day_mean_last_week -2 ,end_stage_time_of_day_mean_last_week -2 ,begin_session_time_of_day_mean_last_week -3 ,end_session_time_of_day_mean_last_week -3 ,begin_stage_time_of_day_mean_last_week -3 ,end_stage_time_of_day_mean_last_week -3 ,begin_session_time_of_day_mean_last_month -1 ,end_session_time_of_day_mean_last_month -1 ,begin_stage_time_of_day_mean_last_month -1 ,end_stage_time_of_day_mean_last_month -1 ,begin_session_time_of_day_mean_last_month -2 ,end_session_time_of_day_mean_last_month -2 ,begin_stage_time_of_day_mean_last_month -2 ,end_stage_time_of_day_mean_last_month -2 ,begin_session_time_of_day_std_last_day -1 ,end_session_time_of_day_std_last_day -1 ,begin_stage_time_of_day_std_last_day -1 ,end_stage_time_of_day_std_last_day -1 ,begin_session_time_of_day_std_last_day -2 ,end_session_time_of_day_std_last_day -2 ,begin_stage_time_of_day_std_last_day -2 ,end_stage_time_of_day_std_last_day -2 ,begin_session_time_of_day_std_last_day -3 ,end_session_time_of_day_std_last_day -3 ,begin_stage_time_of_day_std_last_day -3 ,end_stage_time_of_day_std_last_day -3 ,begin_session_time_of_day_std_last_day -4 ,end_session_time_of_day_std_last_day -4 ,begin_stage_time_of_day_std_last_day -4 ,end_stage_time_of_day_std_last_day -4 ,begin_session_time_of_day_std_last_day -5 ,end_session_time_of_day_std_last_day -5 ,begin_stage_time_of_day_std_last_day -5 ,end_stage_time_of_day_std_last_day -5 ,begin_session_time_of_day_std_last_day -6 ,end_session_time_of_day_std_last_day -6 ,begin_stage_time_of_day_std_last_day -6 ,end_stage_time_of_day_std_last_day -6 ,begin_session_time_of_day_std_last_day -7 ,end_session_time_of_day_std_last_day -7 ,begin_stage_time_of_day_std_last_day -7 ,end_stage_time_of_day_std_last_day -7 ,begin_session_time_of_day_std_last_week -1 ,end_session_time_of_day_std_last_week -1 ,begin_stage_time_of_day_std_last_week -1 ,end_stage_time_of_day_std_last_week -1 ,begin_session_time_of_day_std_last_week -2 ,end_session_time_of_day_std_last_week -2 ,begin_stage_time_of_day_std_last_week -2 ,end_stage_time_of_day_std_last_week -2 ,begin_session_time_of_day_std_last_week -3 ,end_session_time_of_day_std_last_week -3 ,begin_stage_time_of_day_std_last_week -3 ,end_stage_time_of_day_std_last_week -3 ,begin_session_time_of_day_std_last_month -1 ,end_session_time_of_day_std_last_month -1 ,begin_stage_time_of_day_std_last_month -1 ,end_stage_time_of_day_std_last_month -1 ,begin_session_time_of_day_std_last_month -2 ,end_session_time_of_day_std_last_month -2 ,begin_stage_time_of_day_std_last_month -2 ,end_stage_time_of_day_std_last_month -2 
c308a0b82a5b4536bfdc0920b747dfc3,2023_10_23,0,casual,7643912.755,17,FALSE,1,1,4,4,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,12,0,0,0,0,3,3,50,50,5,5,62,62,6,6,114,114,47542.44204,48944.06974,48239.56371,48300.5743,79142.00634,82496.28183,80769.04583,80828.78761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63342.22419,65720.17579,41125.88512,41186.04984,0,0,0,0,50415.66106,56311.4565,15387.92293,15448.42558,3746.286309,8234.944215,12008.17368,12068.61092,14264.88163,19171.19866,26192.98721,26254.26519,,,344.3006,338.207428,,,946.055597,948.87031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99843.78559,98463.0551,69068.78606,69069.42709,0,0,0,0,215812.6608,217777.3652,152712.4627,152710.5849,780935.7291,779279.5949,544745.0303,544744.492,784056.8813,784478.8461,813835.0005,813833.7438
d39ba0fdc9294d24acae547dc08d9cb4,2023_10_23,0,hardcore,7820352.046,58,FALSE,1,1,9,9,1,1,24,24,2,2,45,45,1,1,40,40,0,0,0,0,0,0,0,0,0,0,0,0,5,5,118,118,3,3,86,86,5,5,55,55,18,18,323,323,14,14,223,223,59603.77442,62306.27166,61011.90223,61066.4902,931.135499,8042.46614,4614.926938,4670.770366,13156.08557,17398.62986,9267.092186,9328.895005,64728.57063,71970.73845,68293.9107,68353.60603,0,0,0,0,0,0,0,0,0,0,0,0,47595.13034,52703.3472,4452.889348,4512.215397,16238.11604,23460.30919,11063.1078,11121.26547,40536.83952,44496.23551,86350.92227,10.762749,74427.99123,79240.9979,75894.73686,75954.05406,39975.04184,44537.36265,22823.99466,22884.14458,,,788.788617,788.598119,,,2106.167319,2108.941637,14381.34281,10261.7994,6679.814664,6680.169731,,,2044.415586,2045.295281,0,0,0,0,0,0,0,0,0,0,0,0,125044.1737,123676.3857,98338.34303,98336.79765,144177.7253,144152.3553,107896.1331,107895.8419,94811.74631,92522.70545,82202.73138,82203.13298,769136.3971,769538.0181,748926.852,748926.3457,464776.799,465240.1878,477004.2596,477005.1742
a7eb1385671349d8824a1a0bf468caf0,2023_10_24,1,casual,7477571.343,22,FALSE,1,1,5,5,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,3,3,36,36,0,0,0,0,0,0,0,0,5,5,69,69,6,6,75,75,74964.26887,77037.69261,76070.41425,76124.02475,0,0,0,0,2762.86852,6460.359812,4663.525055,4724.98794,0,0,0,0,0,0,0,0,0,0,0,0,83637.55242,4383.78563,852.141625,908.049043,53788.22994,58093.94602,17263.71332,17320.99922,0,0,0,0,0,0,0,0,21370.65602,26038.79045,19137.38204,19195.14168,74139.25339,78575.61491,30415.58173,30475.01135,,,605.298568,612.108593,0,0,0,0,,,1054.26934,1057.960362,0,0,0,0,0,0,0,0,0,0,0,0,,,2107.283393,2105.294756,299633.5918,297056.7419,227793.4531,227794.0955,0,0,0,0,0,0,0,0,1030197.846,1029098.826,935903.3691,935903.405,1088153.421,1088855.303,994025.9942,994026.0651
926cd6f61f5f42558e640f16dd378169,2023_10_25,2,casual,7490498.679,21,FALSE,1,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,24,2,2,44,44,0,0,0,0,5,5,96,96,8,8,133,133,69510.05739,76647.39146,73213.94992,73275.42188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69510.05739,76647.39146,73213.94992,73275.42188,70084.16768,74760.16312,76775.79076,76836.65618,0,0,0,0,3328.561567,8400.284736,71895.59875,71956.00096,56943.13774,62934.3319,14965.47423,15024.11464,,,2098.252039,2098.031419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2098.252039,2098.031419,6320.536122,9906.841558,4154.609597,4154.471927,0,0,0,0,932530.7738,933854.67,717808.5599,717809.7109,772673.1951,772552.4194,691840.3011,691842.1331
644df5bb4d4c4ea8a4634cef382d117c,2023_10_25,2,casual,7332191.972,21,FALSE,1,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,21,2,2,34,34,0,0,0,0,3,3,55,55,6,6,60,60,368.689587,7662.169403,4138.426413,4198.883024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.689587,7662.169403,4138.426413,4198.883024,67796.55379,73558.92622,70911.75931,70973.58382,0,0,0,0,16520.59906,22793.34062,75263.75948,75325.0617,37085.04168,40261.84011,24536.53937,24597.54393,,,2094.413871,2094.741645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2094.413871,2094.741645,82.105088,2109.905528,1915.696029,1916.529211,0,0,0,0,659433.3926,660319.0608,560342.9622,560342.2937,685070.0002,683600.1563,703859.619,703858.7099
c698ec3d47fb4ce9adc95064686dce25,2023_10_25,2,hardcore,7641799.314,75,FALSE,1,1,6,6,2,2,35,35,1,1,41,41,1,1,8,8,0,0,0,0,1,1,20,20,0,0,0,0,6,6,110,110,4,4,94,94,3,3,50,50,16,16,297,297,23,23,366,366,60598.55295,62488.16326,61614.48364,61678.06948,1843.287635,6468.50339,82638.8585,82698.25497,70757.17644,78105.81232,74442.92929,74503.52786,19057.45963,21582.47477,20287.79523,20351.99169,0,0,0,0,77245.81354,84467.65218,80846.47311,80907.06595,0,0,0,0,9757.596304,14463.51822,68078.53522,68139.17487,26156.67292,32500.43127,8270.983345,8329.585478,62232.79227,65697.16984,29898.00446,29958.1561,8036.022662,12747.60623,79130.79899,79190.95999,55366.85267,59896.57132,72638.5137,72698.16668,,,591.963262,590.425249,32363.79315,28609.63003,20335.25577,20336.03765,,,2113.801491,2114.511956,,,726.281563,730.045112,0,0,0,0,,,2057.38746,2057.390546,0,0,0,0,171649.9206,170078.3329,135078.6129,135078.5824,117912.9434,118411.3875,109759.186,109757.0779,163806.1722,167050.5141,105805.3057,105804.8013,766790.4367,767271.7216,662912.6665,662912.1691,673312.6525,673264.7784,679657.7046,679656.6064
be6c114a220b4056b17a37d987cb5a33,2023_10_25,2,hardcore,7487888.256,61,FALSE,1,1,21,21,1,2,31,31,2,1,27,27,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,5,5,99,99,4,4,76,76,5,5,96,96,19,19,379,379,13,13,217,217,74150.7435,81430.76889,77907.20997,77968.36702,68060.9222,36356.68343,54748.89081,54809.668,41921.90628,12039.68699,43014.83063,43073.79645,69038.32975,76192.0866,72578.79202,72641.61639,0,0,0,0,0,0,0,0,0,0,0,0,7178.761604,13915.18187,19917.60901,19978.38634,52497.78394,56560.63703,24325.24127,24382.69076,10030.24091,14850.86593,78124.16165,78182.50067,48588.07444,54091.23305,64983.22236,65042.47239,24594.60188,29141.52853,38875.62596,38936.05908,,,2067.216945,2066.043613,,55121.53669,32185.80204,32189.08989,48895.67625,,35239.61647,35240.90484,,,2044.444347,2042.644981,0,0,0,0,0,0,0,0,0,0,0,0,108702.6107,109251.4889,97719.80695,97720.1793,118708.1576,120219.2151,87062.39306,87062.91212,133475.8686,136087.544,65134.68153,65133.85286,750332.5057,750672.8657,735527.8324,735528.0753,643791.3622,644949.6942,579750.6369,579751.2088
204ee9a9d7a24cb1a1c535a8ca31971f,2023_10_25,2,churner,655542.4063,5,TRUE,1,1,20,20,0,0,0,0,0,0,0,0,1,1,24,24,0,0,0,0,1,1,39,39,1,1,23,23,4,4,106,106,1,1,19,19,0,0,0,0,5,5,125,125,0,0,0,0,80933.24629,1713.812974,84482.88589,84544.4999,0,0,0,0,0,0,0,0,77273.01114,84533.91938,81006.69986,81067.65403,0,0,0,0,74414.89496,81703.80015,77994.95801,78054.45895,58420.02561,65534.00968,62074.35843,62133.39649,29560.2945,36771.38555,5533.321893,5593.450125,37371.40672,44547.52217,40922.38652,40984.89931,0,0,0,0,48402.51695,55606.61287,44781.25972,44841.7504,0,0,0,0,,,2108.681956,2107.449794,0,0,0,0,0,0,0,0,,,2130.513578,2130.917575,0,0,0,0,,,2115.346624,2115.661661,,,2108.960496,2109.53708,236754.9552,236762.4424,189267.7026,189268.6639,,,2073.265277,2076.106803,0,0,0,0,254676.1633,254690.6617,206972.9228,206973.2069,0,0,0,0
d168bc7060664af48bb9a78497d6086f,2023_10_25,2,hardcore,7738042.292,66,FALSE,1,1,23,23,1,1,2,2,1,2,23,24,2,1,27,26,0,0,0,0,0,0,0,0,1,1,25,25,6,6,100,100,7,7,130,130,6,6,114,114,24,24,445,445,19,19,264,264,78938.32896,86021.76138,82325.22272,82384.58353,65896.26511,66413.19561,66092.73472,66149.53805,26648.30496,15345.73439,8001.61388,7712.611463,53512.92498,26784.22333,75413.89717,75066.74409,0,0,0,0,0,0,0,0,78418.85997,85767.43814,82164.27943,82223.21573,16287.93483,20479.68121,81143.8492,81203.62912,70405.80393,74719.29773,7255.001688,7314.300567,21910.34074,26825.76203,70971.54088,71032.09287,5432.340956,9856.278764,51474.91829,51534.59684,37347.93696,41320.9653,57046.03358,57105.74902,,,2024.903162,2028.575167,,,131.173215,147.603537,,17750.25732,11728.70844,11596.06504,40210.09735,,21036.08267,21344.53981,0,0,0,0,0,0,0,0,,,2124.221399,2125.95713,179360.209,178704.8565,182441.6532,182441.7822,109492.1682,110047.6334,118654.6051,118655.7612,154946.156,153703.8306,147396.4481,147396.8342,729789.9047,729686.4123,694063.9435,694064.1642,638545.5013,637879.2235,670094.6386,670094.7726
caedc12bd2ff4a649cc9b2d7d8fc3aa2,2023_10_25,2,churner,633116.5708,4,TRUE,1,1,19,19,0,0,0,0,0,0,0,0,1,1,20,20,0,0,0,0,0,0,0,0,1,1,20,20,3,3,59,59,1,1,20,20,0,0,0,0,4,4,79,79,0,0,0,0,71573.85156,78747.7643,75234.78748,75293.78292,0,0,0,0,0,0,0,0,57468.47683,64606.74521,60930.11022,60990.86984,0,0,0,0,0,0,0,0,66132.53085,73303.13493,69767.54755,69827.96794,65058.28641,72219.21481,64139.22233,64199.29884,50431.19349,57693.06747,54122.74959,54180.26471,0,0,0,0,61401.51318,68587.67798,60509.73556,60569.16361,0,0,0,0,,,2133.718986,2137.068464,0,0,0,0,0,0,0,0,,,2049.52578,2053.31781,0,0,0,0,0,0,0,0,,,2081.615683,2078.490012,262003.1226,262005.2694,214739.4613,214738.8842,,,2127.829717,2131.055864,0,0,0,0,279650.938,279619.7739,241883.2169,241883.5641,0,0,0,0
